Date,Open,High,Low,Close,Adj Close,Volume
2021-06-08,17.527250,17.621588,17.250999,17.457001,17.422941,323846760
2021-06-09,17.515751,17.575001,17.255751,17.358250,17.328348,381657480
2021-06-10,17.350000,17.492001,17.176003,17.424999,17.394987,287770440
2021-06-11,17.479500,17.939224,17.443750,17.825251,17.794548,416307640
2021-06-14,17.906000,18.039499,17.662752,18.018749,17.987711,321374280
2021-06-15,17.915001,18.016251,17.727949,17.788500,17.757858,243030440
2021-06-16,17.790751,17.954678,17.584425,17.810249,17.779572,307122600
2021-06-17,17.774567,18.834999,17.756252,18.657249,18.625113,809654880
2021-06-18,18.784000,19.375000,18.584000,18.638750,18.606647,968854280
2021-06-21,18.435249,18.536501,17.822651,18.427250,18.395510,672382160
2021-06-22,18.471500,18.963751,18.385876,18.886749,18.854216,580145560
2021-06-23,19.007750,19.152750,18.907749,19.057249,19.024426,332357040
2021-06-24,19.227751,19.420000,19.088249,19.205500,19.172419,320922400
2021-06-25,19.280500,19.345501,18.894375,19.031000,18.998224,278365920
2021-06-28,19.361250,20.078751,19.319000,19.985001,19.950577,495436560
2021-06-29,19.882500,20.098749,19.656876,20.026751,19.992258,367633840
2021-06-30,19.999125,20.162500,19.863750,20.002501,19.968044,326566160
2021-07-01,20.125000,20.455999,20.018999,20.212000,20.177187,480134960
2021-07-02,20.440125,20.505251,20.287750,20.487000,20.451710,343396680
2021-07-06,20.737499,20.841999,20.350250,20.698500,20.662846,446707480
2021-07-07,20.853500,20.875000,20.332050,20.371750,20.336658,418427280
2021-07-08,19.856501,20.132999,19.700750,19.902750,19.868467,503299680
2021-07-09,19.962500,20.080126,19.754250,20.050249,20.015711,296622680
2021-07-12,20.240000,20.532749,20.187750,20.512501,20.477169,321984760
2021-07-13,20.400499,20.461250,20.114002,20.250000,20.215118,290706320
2021-07-14,20.357750,20.417749,19.752750,19.841499,19.807325,380099200
2021-07-15,19.811750,19.847000,18.858501,18.966249,18.933582,550564520
2021-07-16,19.030500,19.157110,18.073000,18.160999,18.129719,688222640
2021-07-19,17.915251,19.042000,17.865499,18.779751,18.747404,749058760
2021-07-20,18.730000,18.837999,18.164000,18.612000,18.579939,434686540
2021-07-21,18.882000,19.527000,18.742001,19.410000,19.376568,371017360
2021-07-22,19.642000,19.886999,19.275999,19.594000,19.560251,323825950
2021-07-23,19.656349,19.700001,19.250000,19.558001,19.524313,195671980
2021-07-26,19.311001,19.441999,18.914000,19.294001,19.260769,203943160
2021-07-27,19.264999,19.622000,18.740999,19.208000,19.174913,248862580
2021-07-28,19.319201,19.646000,18.995001,19.503000,19.469408,202191150
2021-07-29,19.518999,19.853001,19.328030,19.662001,19.628136,190780880
2021-07-30,19.417999,19.629999,19.263000,19.499001,19.465414,183497460
2021-08-02,19.700001,19.961000,19.361000,19.750000,19.715982,217443970
2021-08-03,19.740000,20.222000,19.219999,19.815001,19.780869,301810740
2021-08-04,19.990000,20.318001,19.827999,20.274000,20.239079,231309400
2021-08-05,20.500000,20.733000,20.341999,20.636999,20.601454,211435370
2021-08-06,20.524000,20.570000,20.209999,20.365999,20.330917,178496610
2021-08-09,20.445999,20.507990,20.143000,20.295000,20.260042,146443100
2021-08-10,20.322001,20.430000,19.834539,19.936001,19.901661,179237780
2021-08-11,20.042999,20.049000,19.430000,19.698999,19.665068,185924840
2021-08-12,19.870001,20.028990,19.620001,19.905001,19.870712,151861550
2021-08-13,19.905001,20.213810,19.851000,20.188000,20.153227,183062860
2021-08-16,20.135000,20.287001,19.452999,19.950001,19.915638,211152800
2021-08-17,19.684999,19.770000,19.267000,19.458000,19.424484,204584850
2021-08-18,19.500000,19.633650,19.000000,19.040001,19.007206,285913480
2021-08-19,19.493999,20.495001,18.761999,19.798000,19.763899,766554770
2021-08-20,19.990999,20.865061,19.933001,20.816000,20.780146,675741310
2021-08-23,20.971001,21.997000,20.950001,21.958000,21.920177,575806580
2021-08-24,21.753000,21.959000,21.535000,21.792999,21.755463,297298920
2021-08-25,21.737000,22.469999,21.722000,22.212999,22.174740,347701040
2021-08-26,22.200001,22.340000,21.790001,22.068001,22.029991,237940420
2021-08-27,22.184000,22.722000,22.167000,22.636000,22.597010,304722190
2021-08-30,22.829969,23.042999,22.551001,22.688000,22.648918,262579900
2021-08-31,22.695000,22.695000,22.120001,22.385000,22.350384,259849680
2021-09-01,22.485001,22.697001,22.356501,22.441000,22.406298,201766950
2021-09-02,22.518000,22.592991,22.294500,22.396000,22.361368,188109570
2021-09-03,22.325001,22.986000,22.200001,22.843000,22.807678,280831980
2021-09-07,22.833000,22.899000,22.522400,22.662001,22.626959,198107160
2021-09-08,22.513000,22.610001,21.976999,22.339001,22.304453,254434210
2021-09-09,22.312000,22.538000,22.131001,22.177000,22.142706,196856010
2021-09-10,22.348310,22.625999,22.270000,22.478001,22.443237,248375740
2021-09-13,22.684000,22.964001,21.858000,22.152000,22.117743,297499900
2021-09-14,22.275000,22.410000,22.086000,22.242001,22.207603,199754600
2021-09-15,22.309000,22.366989,21.966000,22.341000,22.306452,166538010
2021-09-16,22.183451,22.277000,21.927000,22.242001,22.207603,156033440
2021-09-17,22.299999,22.320999,21.830000,21.900000,21.866131,294502840
2021-09-20,21.146000,21.433001,20.662001,21.113001,21.080351,349440450
